128000,28,2
128000,30,2
128000,30,2
128000,27,2
128000,29,2
128000,30,2
128000,30,2
128000,30,2
140000,36,2
140000,36,2
140000,36,2
140000,37,2
140000,36,2
150000,41,2
150000,42,2
150000,41,2
150000,42,2
150000,41,2
160000,46,2
160000,47,2
160000,47,2
160000,47,2
160000,47,2
128000,31,4
128000,32,4
128000,31,4
128000,31,4
128000,31,4
140000,38,4
140000,37,4
140000,37,4
140000,37,4
140000,37,4
150000,43,4
150000,43,4
150000,42,4
150000,42,4
150000,43,4
160000,47,4
160000,48,4
160000,48,4
160000,49,4
160000,48,4
128000,22,8
128000,22,8
128000,26,8
128000,25,8
128000,27,8
140000,27,8
140000,29,8
140000,29,8
140000,29,8
140000,31,8
150000,34,8
150000,35,8
150000,31,8
150000,35,8
150000,34,8
160000,38,8
160000,35,8
160000,38,8
160000,42,8
160000,41,8
